model task train-time load-time test-time
COIN DefNonce 0 6.14 408.55
ADD DefNonce 0 7.55 433.86
ELMo DefNonce 95.44 22.80 1000.39
Fasttext DefNonce 0.00 24.98 3.92
COIN DefNonce 0 6.45 418.92
ADD DefNonce 0 6.19 437.64
BERT DefNonce 0.00 4.89 516.41
ELMo DefNonce 0.00 23.84 1051.50
Fasttext DefNonce 0.00 25.58 4.55
COIN DefNonce 0 6.92 417.48
ADD DefNonce 0 6.48 418.94
BERT DefNonce 0.00 4.06 506.34
ELMo DefNonce 0.00 23.47 1054.62
Fasttext DefNonce 0.00 26.16 4.08
COIN DefNonce 0 6.14 427.86
ADD DefNonce 0 7.16 435.47
BERT DefNonce 0.00 3.73 508.00
ELMo DefNonce 0.00 24.33 1057.53
Fasttext DefNonce 0.00 26.36 4.53
COIN DefNonce 0 6.42 417.52
ADD DefNonce 0 5.89 419.02
BERT DefNonce 0.00 4.08 512.17
ELMo DefNonce 0.00 24.05 1058.77
Fasttext DefNonce 0.00 25.39 4.95
COIN DefNonce 0 6.19 418.95
ADD DefNonce 0 6.03 432.58
BERT DefNonce 0.00 4.97 523.33
ELMo DefNonce 0.00 23.33 1084.23
Fasttext DefNonce 0.00 26.59 4.42
COIN DefNonce 0 6.53 413.14
ADD DefNonce 0 6.41 415.09
BERT DefNonce 0.00 4.08 508.73
ELMo DefNonce 0.00 23.72 1066.86
Fasttext DefNonce 0.00 26.16 4.14
COIN DefNonce 0 6.12 414.05
ADD DefNonce 0 6.56 416.19
BERT DefNonce 0.00 4.20 529.97
ELMo DefNonce 0.00 23.23 1066.44
Fasttext DefNonce 0.00 26.67 4.61
COIN DefNonce 0 6.88 415.08
ADD DefNonce 0 6.36 415.12
BERT DefNonce 0.00 3.94 504.55
ELMo DefNonce 0.00 23.95 1062.22
Fasttext DefNonce 0.00 25.77 4.69
COIN DefNonce 0 5.80 414.89
ADD DefNonce 0 5.95 414.41
BERT DefNonce 0.00 4.17 525.25
ELMo DefNonce 0.00 28.09 1066.88
Fasttext DefNonce 0.00 25.92 4.34
COIN DefNonce 0 5.94 414.34
ADD DefNonce 0 6.42 414.75
BERT DefNonce 0.00 4.03 502.66
ELMo DefNonce 0.00 24.23 1064.88
Fasttext DefNonce 0.00 26.16 4.66
N2V DefNonce 0 0 1147.486
N2V DefNonce 0 0 1161.019
N2V DefNonce 0 0 1156.476
N2V DefNonce 0 0 1177.497
N2V DefNonce 0 0 1162.367
N2V DefNonce 0 0 1179.389
N2V DefNonce 0 0 1171.906
N2V DefNonce 0 0 1163.453
N2V DefNonce 0 0 1189.426
N2V DefNonce 0 0 1153.906
ALC DefNonce 0 0 855.06
ALC DefNonce 0 0 835.92
ALC DefNonce 0 0 824.17
ALC DefNonce 0 0 820.98
ALC DefNonce 0 0 841.91
ALC DefNonce 0 0 839.95
ALC DefNonce 0 0 861.45
ALC DefNonce 0 0 839.59
ALC DefNonce 0 0 849.66
ALC DefNonce 0 0 850.14
